Index,German,English
3276,machbar,feasible /possible / doable
3277,machen,"to make, do"
3278,mach's gut!,take care!
3279,magersüchtig,anorexic
3280,mähen,to mow
3281,mal,times ( i.e. 2 x 2)
3282,malen,to paint (artistically)
3283,man,"one (3rd person, as in he/she/it)"
3284,"mancher, manche, manches","some (masc, fem, neut)"
3285,manchmal,sometimes
3286,mangelhaft,lacking / insufficient
3287,männlich,male
3288,marktwirtschaftlich,free enterprise
3289,marschieren,to march
3290,mäßig,moderate
3291,massiv,"solid, massive, severe"
3292,maximal,maximum
3293,mehr,more
3294,mehrere,several
3295,mein,my
3296,mein name ist hase.,"don't ask me, i don't know anything about it."
3297,meinen,to mean / to opine
3298,meiner meinung nach,in my opinion
3299,tatsächlich,"actually, really, in fact"
3300,meist,most/mostly
3301,meistens,"mostly, more often than not"
3302,mensch!,man!
3303,menschlich,human
3304,merken,"to notice, to realise"
3305,merkwürdig,"strange, odd, curious"
3306,mexiko,mexico
3307,mieten,to rent (from someone)
3308,mindestens,at least (1)
3309,mir fällt nichts ein.,i can't think of anything.
3310,mir ist das geld ausgegangen.,i ran out of money.
3311,mir raucht der kopf.,i can't think straight anymore.
3312,miserabel,miserable
3313,mit,with
3314,mit einem mal,all at once / suddenly
3315,mit freundlichen grüßen,yours sincerely
3316,"mitbringen, brachte mit, mitgebracht",to bring along
3317,miteinander,"with one another, together"
3318,"mitgehen, ging mit, mitgegangen",to go along; to go with
3319,"mitkommen, kam mit, mitgekommen",to come along; to come with
3320,"mitlesen, las mit, mitgelesen",to read with sb; to read to;
3321,"mitnehmen, nahm mit, mitgenommen",to take along; to give someone a lift
3322,"mitsingen, sang mit, mitgesungen",to sing along
3323,mitte april,(in) the middle of april
3324,mittelmäßig,"average (just), mediocre"
3325,mittelgroß,of medium height
3326,mittellang,of medium length
3327,mitten im winter,in the middle of winter
3328,um mitternacht,at midnight
3329,möbliert,furnished
3330,modern,modern
3331,modisch,fashionable
3332,"mögen, mochte",to like
3333,möglich,possible
3334,möglichst,as . . . . . as possible
3335,mollig,plump
3336,monatlich,monthly
3337,morgen,tomorrow
3338,morgen früh,tomorrow morning
3339,morgen nachmittag,tomorrow afternoon
3340,morgens,in the morning
3341,müde,tired
3342,multikulturell,multicultural
3343,münchen,munich
3344,mündlich,oral
3345,murmeln,"to mutter, to murmur"
3346,musikalisch,musical (adj.)
3347,musizieren,to make music
3348,"müssen, musste","must, to have to"
3349,mütterlich,motherly; maternal
3350,mütterlicherseits,on one's maternal side
3351,mutterlos,motherless
3352,mysteriös,mysterious
3353,"na, ...","well, ..."
3354,nach,"after, to"
3355,nach hause gehen,to go home
3356,nach japan,to japan
3357,nach mitternacht,after midnight
3358,nach roberts vorlesung,after robert's lecture
3359,nachdem,after; since; seeing that . .
3360,"nachdenken, dachte nach, nachgedacht","to think about, to ponder, to reflect"
3361,nachfüllen,to refill
3362,nachgaloppieren,to gallop after
3363,nachher,"afterwards, later"
3364,nachmittags,in the afternoon
3365,"nachschlagen, schlug nach, nachgeschlagen","to look up, to consult"
3366,nachsitzen müssen,to be kept in /to have detention (in school)
3367,nächst,next
3368,nächstes jahr,next year
3369,nachts,at night (2)
3370,nah,"near, nigh"
3371,namenlos,nameless
3372,nämlich,namely
3373,nass,wet
3374,natürlich,naturally
3375,nebelig,foggy
3376,neben,"next to, beside, besides"
3377,neblig,foggy (colloquial)
3378,negativ,negative
3379,"nehmen, nahm, genommen",to take
3380,neidisch,"envious, jealous"
3381,auf jemanden neidisch sein,to be envious of someone
3382,nirgends,nowhere
3383,nein,no
3384,"nennen, nannte, genannt",to name
3385,nerven,to get on one's nerves
3386,nervös,nervous
3387,nett,nice
3388,neu,new
3389,neugierig,"curious, inquisitive, nosey (fam)"
3390,neulich,recently
3391,neuseeland,new zealand
3392,neuseeländisch,new zealand (adj.)
3393,nicht,not
3394,nicht alle tassen im schrank haben,to be crazy (idiom)
3395,nicht mal,not even
3396,nicht mehr,no longer
3397,nichts,nothing
3398,nichts als ärger,nothing but trouble
3399,nie,never (1)
3400,niedrig,low
3401,niemals,never (not once)
3402,niemand,"no one, nobody"
3403,nieseln,to drizzle (rain)
3404,noch,"still, as yet"
3405,noch einmal,once more
3406,nochmal,once more
3407,noch nicht,not yet
3408,nordamerika,north america
3409,nördlich von,north of
3410,norwegen,norway
3411,nötig,necessary (1)
3412,notwendig,necessary (2)
3413,schland!,"germany (abbreviation, coll)"
3414,nur,only
3415,nützlich,useful
3416,nutzlos,useless
3417,ob,"whether, if"
3418,oben,above
3419,ober,upper
3420,obgleich,although (2)
3421,obwohl,although (1)
3422,oder,or
3423,offen,open
3424,öffentlich,public
3425,offiziell,official
3426,öffnen,to open (2)
3427,oft,often
3428,ohne,without
3429,optimistisch,optimistic
3430,ordentlich,"tidy, proper, respectable"
3431,organisieren,to organise
3432,orientiert,oriented
3433,ostern,"easter (neutral – no article, no plural)"
3434,österreich,austria
3435,österreichisch,austrian (adj.)
3436,osteuropäisch,eastern european (adj.)
3437,östlich (von),east (of)
3438,packen,to pack (2)
3439,pakistan,pakistan
3440,parken,to park
3441,passen,"to fit, to suit"
3442,passend,"fitting, matching, appropriate"
3443,passieren,to happen (2)
3444,passioniert,passionate
3445,peinlich,embarrassing
3446,per anhalter fahren,to hitch-hike (2)
3447,persönlich,"personal, personally"
3448,peru,peru
3449,pessimistisch,pessimistic
3450,pflegeleicht,easy to care for
3451,pflücken,to pick
3452,pflügen,to plough
3453,pfui!,yuck!
3454,planen,to plan (1)
3455,plaudern,to chat
3456,plötzlich,suddenly (2)
3457,poetisch,poetic
3458,polen,poland
3459,politisch,political
3460,polnisch,polish (adj.)
3461,populär,popular
3462,portugal,portugal
3463,praktisch,practical
3464,preisgünstig,inexpensive / good value
3465,preiswert,reasonably priced
3466,prima!,great! cool! (1)
3467,primitiv,primitive
3468,privat,private
3469,privatisieren,to privatise
3470,pro,per
3471,produzieren,to produce
3472,proklamieren,to proclaim
3473,prominent,prominent
3474,prost!,cheers!
3475,protzig,"swanky, showy"
3476,prüfen,to test
3477,pünktlich,"punctual, on time"
3478,putzen,"to clean, to polish"
3479,qualifiziert,qualified
3480,quatsch!,nonsense!
3481,"radfahren, fuhr rad, radgefahren",to ride a bike
3482,rasen,1.to race (+sein) ; 2. to rage (+haben)
3483,rasseln,to rattle
3484,rast machen,to stop off/over
3485,"raten, riet, geraten",to advise
3486,rauchen,to smoke
3487,"rausgehen, ging raus, rausgegangen",to go out (coll.)
3488,"rauskommen, kam raus, rausgekommen",to come out (2)
3489,"herauswachsen, wuchs heraus, herausgewachsen",to grow out of / to outgrow
3490,reagieren,to react
3491,real,real
3492,rechnen,to calculate
3493,recht,"right, correct, real"
3494,recht haben,to be right (correct)
3495,rechts,on the right
3496,rechtzeitig,on time
3497,recyceln,to recycle (1)
3498,reden,to talk
3499,reduzieren,to reduce
3500,reduziert,reduced
3501,regelmäßig,regular
3502,regnen,to rain
3503,regnerisch,rainy
3504,reich,rich
3505,reif,"ripe, mature"
3506,"reingehen, ging rein, reingegangen",to go in (2)
3507,reisen,to travel
3508,"reißen, riss, gerissen","to rip, to tear"
3509,"reiten, ritt, geritten",to ride
3510,"rennen, rannte, gerannt",to run (2)
3511,renovieren,to renovate
3512,reparieren,to repair
3513,reservieren,to reserve
3514,restlich,"remaining, [rest of the]"
3515,retten,"to rescue, to save"
3516,revolutionär,revolutionary
3517,rezeptfrei,prescription-free
3518,rezeptpflichtig,needing a prescription
3519,richtig,"correct, right, real"
3520,"riechen, roch, gerochen",to smell
3521,riesig,huge
3522,riskieren,to risk (2)
3523,romantisch,romantic
3524,rosa,pink
3525,rosarot,pink-red
3526,rostig,rusty
3527,rot,red
3528,rücksichtslos,inconsiderate
3529,"rufen, rief, gerufen","to call out, to shout"
3530,ruhig,"calm, quiet (2)"
3531,rumänien,romania
3532,rund,round
3533,rund um,right around
3534,russisch,russian (adj.)
3535,russland,russia
3536,säen,"to sow, to seed"
3537,saftig,juicy
3538,sag mal,"say, tell me"
3539,sagen,to say
3540,salzig,salty
3541,sammeln,to collect (ie stamps)
3542,sandig,sandy
3543,sanft,soft
3544,satt,"full of, satiated"
3545,satteln,to saddle
3546,sauber,clean
3547,sauer,"sour, annoyed"
3548,staubsaugen,to vacuum/hoover; to suck
3549,schade!,too bad!
3550,"schaffen, schuf, geschaffen","to create, to make"
3551,sich schämen,to be/feel ashamed
3552,schamlos,shameless
3553,scharf,"sharp, spicy-hot"
3554,schattig,shady
3555,schaufeln,to shovel
3556,"scheinen, schien, geschienen",to shine; to appear
3557,schenken,to give a gift
3558,schick,chic
3559,schicken,to send
3560,"schieben, schob, geschoben","to push, to shove"
3561,schief,"crooked, lopsided, distorted"
3562,"schießen, schoss, geschossen",to shoot
3563,"schlafen, schlief, geschlafen",to sleep
3564,schlaflos,sleepless
3565,"schlagen, schlug, geschlagen","to hit, to beat"
3566,schlank,"slim, slender"
3567,schlau,"crafty, clever"
3568,schlecht,"bad, poor (quality)"
3569,schleimig,slimy
3570,schleppen,to drag
3571,"schließen, schloss, geschlossen",to close
3572,schließlich,finally
3573,schlimm,"bad, dreadful, terrible"
3574,schlittschuhlaufen gehen,to go ice skating
3575,schlüpfrig,slippery
3576,schmal,"slim, slender, narrow,"
3577,schmecken,to taste
3578,schminken,to put on makeup
3579,schmücken,"to decorate, to adorn"
3580,schmutzig,dirty; smutty; crooked
3581,schnarchen,to snore
3582,schneeweiß,snow-white
3583,"schneiden, schnitt, geschnitten",to cut
3584,schneien,to snow
3585,schnell,fast (of speed)
3586,schockiert,shocked
3587,schon,already
3588,schön,"beautiful, handsome, lovely, nice"
3589,schon wieder,[once] again
3590,schottland,scotland
3591,schrecklich,"terrible, horrible, dreadful, awful (2)"
3592,"schreiben, schrieb, geschrieben",to write
3593,"schreien, schrie, geschrien","to scream, to shout,"
3594,schriftlich,"written, in writing"
3595,schüchtern,"shy, timid"
3596,schulden,to owe
3597,schuldig,guilty
3598,schütteln,"to shake, to shudder"
3599,schütten,"to tip, to pour"
3600,schützen,to protect
3601,schwach,weak
3602,schwanger,pregnant
3603,schwarz,black
3604,schweden,sweden
3605,schwedisch,swedish (adj.)
3606,schweizerisch,swiss (adj.)
3607,schwer,"difficult, heavy"
3608,"schwimmen, schwamm, geschwommen",to swim
3609,schwül,"muggy, sultry, oppressive (of atmosphere)"
3610,seekrank,seasick
3611,segeln,to sail
3612,"sehen, sah, gesehen",to see
3613,sehenswert,worth seeing
3614,sehr,very
3615,sehr geehrte frau,dear madam
3616,sehr geehrter herr,dear sir
3617,"sein, war, gewesen",to be
3618,sein,"his, its (uninflected form)"
3619,seit,since (+ dativ)
3620,seitdem,"since, since then"
3621,seither,since then
3622,"die sekte, -n",the sect
3623,"derselbe, dieselbe, dasselbe","the same (masc, fem, neut)"
3624,selbst,self
3625,senkrecht,vertical
3626,selbstlos,"selfless, unselfish"
3627,selten,seldom
3628,seltsam,"odd, strange, peculiar"
3629,sentimental,sentimental
3630,serbien,serbia
3631,servieren,to serve
3632,servus!,"hi! bye! (austrian, bavarian)"
3633,setzen,"to set, to put"
3634,sich amüsieren,to amuse/enjoy oneself
3635,"sich anziehen, zog an, angezogen",to get dressed
3636,sich ärgern über,to be annoyed with/about
3637,sich auflösen,to dissolve (lit. & figur.)
3638,sich aufregen,"to over-react, to get upset"
3639,sich aufregen über,"to get excited about, to get upset about"
3640,sich ausruhen,to have a rest
3641,"sich ausziehen, zog aus, ausgezogen","to undress, to get undressed"
3642,sich beeilen,to be in a hurry
3643,"sich befinden, befand, befunden",to be situated
3644,"sich benehmen, benahm, benommen",to behave
3645,"sich bewerben, bewarb, beworben",to apply for a job/position
3646,sich die beine in den bauch stehen,to stand until one is ready to drop or to be standing around for ages
3647,sich die haare föhnen,to blow dry one's hair
3648,sich die haare trocknen,to dry one's hair
3649,sich duschen,to take a shower
3650,sich entschuldigen,to apologise
3651,sich entspannen,to relax oneself
3652,sich erinnern,to remember
3653,sich erkälten,to catch a cold
3654,sich etwas aussuchen,to pick something out for oneself
3655,sich etwas vorstellen,to imagine something
3656,sich freuen auf,to look forward to (+ acc.)
3657,sich freuen über,"to be happy about, to be pleased with (+ acc)"
3658,sich gewöhnen an,to get used to (acc.)
3659,sich interessieren für,to be interested in
3660,sich irren,to be mistaken
3661,sich kämmen,to comb one's hair
3662,sich langweilen,to be bored
3663,sich loben,to praise onself
3664,sich lösen von,to part with
3665,sich rasieren,to shave oneself
3666,"sich schwören, schwor, geschworen",to promise oneself sth.; to vow
3667,sich setzen,"to sit down, to seat oneself"
3668,sich sonnen,to sunbathe
3669,sich umschauen,to look around
3670,"sich umziehen, zog um, umgezogen","1. to move, to change residences. 2. to change clothes"
3671,"sich unterhalten, unterhielt, unterhalten","to talk, to converse"
3672,sich verändern,to change (oneself or one's situation)
3673,"sich verlaufen, verlief, verlaufen",to disperse; go the wrong way; get lost (+haben)
3674,sich verlieben in,to fall in love with (+ acc)
3675,sich verirren,to lose one's way
3676,sich verspäten,to be late
3677,"sich verziehen, verzog, verzogen",to lose shape; to crumple; to clear off (fam.)
3678,sich wohl fühlen,to feel well
3679,sicher,sure
3680,sie geht mir auf die nerven.,she gets on my nerves. (1)
3681,sie hat keine ahnung.,she hasn't got a clue.
3682,sie ist eine nervtante.,she gets on my nerves. (2)
3683,sie war außer sich.,she was beside herself.
3684,sie wird einundzwanzig.,she's going to be twenty-one.
3685,sie wünschen?,may i help you?
3686,signieren,to sign
3687,silbern,silver (adj.)
3688,"singen, sang, gesungen",to sing
3689,"sinken, sank, gesunken","to sink, go down, founder"
3690,"sitzen, saß, gesessen","to sit, be sitting (intransitive)"
3691,sitzen bleiben,to repeat the year
3692,skandinavien,scandinavia
3693,"ski laufen, ski lief, ski gelaufen",to go skiing
3694,so,"so, as"
3695,so ... wie ...,as ... as ...
3696,so bald wie möglich,as soon as possible
3697,so bin ich eben.,that's just the way i am.
3698,so ein . . . . .,such a . . . .
3699,sogenannt,so-called
3700,so schnell wie möglich,as fast as possible
3701,so viel wie möglich,as much as possible
3702,sobald,as soon as
3703,sofort,immediately
3704,sogar,even
3705,solange,as long as
